AÑO,ENTIDAD,EDAD,SEXO,POBLACION
2001,Zacatecas,3,Hombres,17264
2001,Zacatecas,3,Mujeres,16666
2001,Zacatecas,4,Hombres,17105
2001,Zacatecas,4,Mujeres,16494
2001,Zacatecas,5,Hombres,17049
2001,Zacatecas,5,Mujeres,16421
2001,Zacatecas,6,Hombres,17316
2001,Zacatecas,6,Mujeres,16656
2001,Zacatecas,7,Hombres,17535
2001,Zacatecas,7,Mujeres,16871
2001,Zacatecas,8,Hombres,17652
2001,Zacatecas,8,Mujeres,17011
2001,Zacatecas,9,Hombres,17673
2001,Zacatecas,9,Mujeres,17066
2001,Zacatecas,10,Hombres,17566
2001,Zacatecas,10,Mujeres,17012
2001,Zacatecas,11,Hombres,17336
2001,Zacatecas,11,Mujeres,16861
2001,Zacatecas,12,Hombres,17059
2001,Zacatecas,12,Mujeres,16681
2001,Zacatecas,13,Hombres,16752
2001,Zacatecas,13,Mujeres,16496
2001,Zacatecas,14,Hombres,16377
2001,Zacatecas,14,Mujeres,16286
2001,Zacatecas,15,Hombres,15893
2001,Zacatecas,15,Mujeres,16028
2001,Zacatecas,16,Hombres,15249
2001,Zacatecas,16,Mujeres,15689
2001,Zacatecas,17,Hombres,14438
2001,Zacatecas,17,Mujeres,15250
2001,Zacatecas,18,Hombres,13536
2001,Zacatecas,18,Mujeres,14741
2001,Zacatecas,19,Hombres,12643
2001,Zacatecas,19,Mujeres,14208
2001,Zacatecas,20,Hombres,11843
2001,Zacatecas,20,Mujeres,13688
2001,Zacatecas,21,Hombres,11181
2001,Zacatecas,21,Mujeres,13217
2001,Zacatecas,22,Hombres,10665
2001,Zacatecas,22,Mujeres,12804
2001,Zacatecas,23,Hombres,10290
2001,Zacatecas,23,Mujeres,12462
2001,Zacatecas,24,Hombres,10047
2001,Zacatecas,24,Mujeres,12193
2001,Zacatecas,25,Hombres,9892
2001,Zacatecas,25,Mujeres,11965
2001,Zacatecas,26,Hombres,9766
2001,Zacatecas,26,Mujeres,11727
2001,Zacatecas,27,Hombres,9629
2001,Zacatecas,27,Mujeres,11447
2001,Zacatecas,28,Hombres,9480
2001,Zacatecas,28,Mujeres,11136
2001,Zacatecas,29,Hombres,9320
2001,Zacatecas,29,Mujeres,10813
2001,Zacatecas,30,Hombres,9149
2001,Zacatecas,30,Mujeres,10491
2002,Zacatecas,3,Hombres,17183
2002,Zacatecas,3,Mujeres,16588
2002,Zacatecas,4,Hombres,16931
2002,Zacatecas,4,Mujeres,16335
2002,Zacatecas,5,Hombres,16784
2002,Zacatecas,5,Mujeres,16182
2002,Zacatecas,6,Hombres,16986
2002,Zacatecas,6,Mujeres,16360
2002,Zacatecas,7,Hombres,17210
2002,Zacatecas,7,Mujeres,16577
2002,Zacatecas,8,Hombres,17368
2002,Zacatecas,8,Mujeres,16754
2002,Zacatecas,9,Hombres,17458
2002,Zacatecas,9,Mujeres,16871
2002,Zacatecas,10,Hombres,17457
2002,Zacatecas,10,Mujeres,16911
2002,Zacatecas,11,Hombres,17304
2002,Zacatecas,11,Mujeres,16826
2002,Zacatecas,12,Hombres,17018
2002,Zacatecas,12,Mujeres,16636
2002,Zacatecas,13,Hombres,16686
2002,Zacatecas,13,Mujeres,16418
2002,Zacatecas,14,Hombres,16326
2002,Zacatecas,14,Mujeres,16199
2002,Zacatecas,15,Hombres,15891
2002,Zacatecas,15,Mujeres,15950
2002,Zacatecas,16,Hombres,15332
2002,Zacatecas,16,Mujeres,15646
2002,Zacatecas,17,Hombres,14620
2002,Zacatecas,17,Mujeres,15267
2002,Zacatecas,18,Hombres,13767
2002,Zacatecas,18,Mujeres,14798
2002,Zacatecas,19,Hombres,12864
2002,Zacatecas,19,Mujeres,14279
2002,Zacatecas,20,Hombres,12007
2002,Zacatecas,20,Mujeres,13751
2002,Zacatecas,21,Hombres,11265
2002,Zacatecas,21,Mujeres,13251
2002,Zacatecas,22,Hombres,10669
2002,Zacatecas,22,Mujeres,12805
2002,Zacatecas,23,Hombres,10219
2002,Zacatecas,23,Mujeres,12423
2002,Zacatecas,24,Hombres,9911
2002,Zacatecas,24,Mujeres,12112
2002,Zacatecas,25,Hombres,9727
2002,Zacatecas,25,Mujeres,11871
2002,Zacatecas,26,Hombres,9628
2002,Zacatecas,26,Mujeres,11676
2002,Zacatecas,27,Hombres,9554
2002,Zacatecas,27,Mujeres,11471
2002,Zacatecas,28,Hombres,9467
2002,Zacatecas,28,Mujeres,11226
2002,Zacatecas,29,Hombres,9357
2002,Zacatecas,29,Mujeres,10949
